"Name","Product","Qty","Buy Avg Price","Sell Avg Price","LTP","P&L"
"Pidilite Industries","Intraday","1.00","1,501.30","1,497.00","1,500.10","-4.30"
"Britannia Industries","Intraday","1.00","5,153.00","5,138.00","5,116.00","-15.00"
"Bajaj Finserv","Intraday","1.00","1,646.50","1,645.95","1,646.60","-0.55"
"Dabur India","Intraday","4.00","422.25","423.80","422.60","6.20"
"Indian Energy Exchange","Intraday","16.00","117.09","117.30","117.26","3.40"
"Bajaj Finserv","Intraday","1.00","1,644.50","1,645.50","1,647.20","1.00"
