"Name","Product","Qty","Buy Avg Price","Sell Avg Price","LTP","P&L"
"Hindustan Aeronautics","Intraday","2.00","4,304.35","4,313.85","4,356.20","19.00"
"AU Small Finance Bank","Intraday","1.00","1,019.30","1,019.25","1,032.50","-0.05"
"Asian Paints","Intraday","1.00","2,653.60","2,647.00","2,656.00","-6.60"
"ICICI Prudential Life Insurance","Intraday","1.00","492.35","490.10","488.65","-2.25"
"Aditya Birla Capital","Intraday","1.00","386.45","388.20","384.70","1.75"
"Nestle","Intraday","1.00","1,394.80","1,401.00","1,382.60","6.20"
"Lupin","Intraday","1.00","2,376.60","2,376.50","2,413.30","-0.10"
"Hindustan Zinc","Intraday","1.00","522.25","521.35","528.00","-0.90"
